,year,month,day,hour,bitcoin
927,2015,2,8,10,61
928,2015,2,8,11,69
929,2015,2,8,12,65
930,2015,2,8,13,68
931,2015,2,8,14,51
932,2015,2,8,15,76
933,2015,2,8,16,59
934,2015,2,8,17,51
935,2015,2,8,18,45
936,2015,2,8,19,49
937,2015,2,8,20,53
938,2015,2,8,21,60
939,2015,2,8,22,71
940,2015,2,8,23,63
941,2015,2,9,0,47
942,2015,2,9,1,67
943,2015,2,9,2,84
944,2015,2,9,3,65
945,2015,2,9,4,88
946,2015,2,9,5,63
947,2015,2,9,6,70
948,2015,2,9,7,46
949,2015,2,9,8,50
950,2015,2,9,9,63
951,2015,2,9,10,48
952,2015,2,9,11,56
953,2015,2,9,12,43
954,2015,2,9,13,51
955,2015,2,9,14,58
956,2015,2,9,15,49
957,2015,2,9,16,63
958,2015,2,9,17,70
959,2015,2,9,18,57
960,2015,2,9,19,54
961,2015,2,9,20,77
962,2015,2,9,21,68
963,2015,2,9,22,79
964,2015,2,9,23,58
965,2015,2,10,0,94
966,2015,2,10,1,72
967,2015,2,10,2,69
968,2015,2,10,3,41
969,2015,2,10,4,64
970,2015,2,10,5,64
971,2015,2,10,6,68
972,2015,2,10,7,77
973,2015,2,10,8,42
974,2015,2,10,9,70
975,2015,2,10,10,31
976,2015,2,10,11,53
977,2015,2,10,12,60
978,2015,2,10,13,51
979,2015,2,10,14,60
980,2015,2,10,15,51
981,2015,2,10,16,44
982,2015,2,10,17,80
983,2015,2,10,18,42
984,2015,2,10,19,49
985,2015,2,10,20,77
986,2015,2,10,21,57
987,2015,2,10,22,78
988,2015,2,10,23,71
989,2015,2,11,0,71
990,2015,2,11,1,52
991,2015,2,11,2,85
992,2015,2,11,3,31
993,2015,2,11,4,75
994,2015,2,11,5,100
995,2015,2,11,6,67
996,2015,2,11,7,40
997,2015,2,11,8,53
998,2015,2,11,9,42
999,2015,2,11,10,25
1000,2015,2,11,11,58
1001,2015,2,11,12,63
1002,2015,2,11,13,46
1003,2015,2,11,14,42
1004,2015,2,11,15,48
1005,2015,2,11,16,46
1006,2015,2,11,17,36
1007,2015,2,11,18,51
1008,2015,2,11,19,45
1009,2015,2,11,20,77
1010,2015,2,11,21,44
1011,2015,2,11,22,76
1012,2015,2,11,23,58
1013,2015,2,12,0,89
1014,2015,2,12,0,92
1015,2015,2,12,1,43
1016,2015,2,12,2,82
1017,2015,2,12,3,100
1018,2015,2,12,4,76
1019,2015,2,12,5,39
1020,2015,2,12,6,48
1021,2015,2,12,7,76
1022,2015,2,12,8,48
1023,2015,2,12,9,39
1024,2015,2,12,10,67
1025,2015,2,12,11,70
1026,2015,2,12,12,50
1027,2015,2,12,13,48
1028,2015,2,12,14,60
1029,2015,2,12,15,70
1030,2015,2,12,16,64
1031,2015,2,12,17,38
1032,2015,2,12,18,41
1033,2015,2,12,19,45
1034,2015,2,12,20,55
1035,2015,2,12,21,66
1036,2015,2,12,22,48
1037,2015,2,12,23,54
1038,2015,2,13,0,52
1039,2015,2,13,1,39
1040,2015,2,13,2,39
1041,2015,2,13,3,29
1042,2015,2,13,4,14
1043,2015,2,13,5,71
1044,2015,2,13,6,64
1045,2015,2,13,7,50
1046,2015,2,13,8,48
1047,2015,2,13,9,41
1048,2015,2,13,10,34
1049,2015,2,13,11,57
1050,2015,2,13,12,36
1051,2015,2,13,13,31
1052,2015,2,13,14,58
1053,2015,2,13,15,49
1054,2015,2,13,16,51
1055,2015,2,13,17,62
1056,2015,2,13,18,43
1057,2015,2,13,19,53
1058,2015,2,13,20,61
1059,2015,2,13,21,67
1060,2015,2,13,22,72
1061,2015,2,13,23,47
1062,2015,2,14,0,79
